month,mother_age,child_gender,mother_race,birth_count
2020-12,20  -  24,M,CHINESE,16
2020-12,20  -  24,F,INDIANS,8
2020-12,20  -  24,M,INDIANS,7
2020-12,20  -  24,F,MALAYS,31
2020-12,20  -  24,M,MALAYS,31
2020-12,20  -  24,F,OTHERS,5
2020-12,20  -  24,M,OTHERS,9
2020-12,25  -  29,F,CHINESE,174
2020-12,25  -  29,M,CHINESE,179
2020-12,25  -  29,F,INDIANS,39
2020-12,25  -  29,M,INDIANS,40
2020-12,25  -  29,F,MALAYS,121
2020-12,25  -  29,M,MALAYS,120
2020-12,25  -  29,F,OTHERS,31
2020-12,25  -  29,M,OTHERS,30
2020-12,30  -  34,F,CHINESE,405
2020-12,30  -  34,M,CHINESE,447
2020-12,30  -  34,F,INDIANS,75
2020-12,30  -  34,M,INDIANS,69
2020-12,30  -  34,F,MALAYS,109
2020-12,30  -  34,M,MALAYS,120
2020-12,30  -  34,F,OTHERS,73
2020-12,30  -  34,M,OTHERS,96
2020-12,35  -  39,F,CHINESE,234
2020-12,35  -  39,M,CHINESE,220
2020-12,35  -  39,F,INDIANS,27
2020-12,35  -  39,M,INDIANS,43
2020-12,35  -  39,F,MALAYS,49
2020-12,35  -  39,M,MALAYS,56
2020-12,35  -  39,F,OTHERS,48
2020-12,35  -  39,M,OTHERS,69
2020-12,40  -  44,F,CHINESE,40
2020-12,40  -  44,M,CHINESE,50
2020-12,40  -  44,F,INDIANS,3
2020-12,40  -  44,M,INDIANS,2
2020-12,40  -  44,F,MALAYS,5
2020-12,40  -  44,M,MALAYS,8
2020-12,40  -  44,F,OTHERS,6
2020-12,40  -  44,M,OTHERS,8
2020-12,45  -  49,F,CHINESE,1
2020-12,45  -  49,M,CHINESE,1
2021-01,15  -  19,F,CHINESE,2
2021-01,15  -  19,M,CHINESE,1
2021-01,15  -  19,F,INDIANS,1
2021-01,15  -  19,F,MALAYS,10
2021-01,15  -  19,M,MALAYS,6
2021-01,15  -  19,F,OTHERS,2
2021-01,15  -  19,M,OTHERS,1
2021-01,20  -  24,F,CHINESE,8
2021-01,20  -  24,M,CHINESE,18
2021-01,20  -  24,F,INDIANS,12
2021-01,20  -  24,M,INDIANS,6
2021-01,20  -  24,F,MALAYS,20
2021-01,20  -  24,M,MALAYS,20
2021-01,20  -  24,F,OTHERS,2
2021-01,20  -  24,M,OTHERS,2
2021-01,25  -  29,F,CHINESE,153
2021-01,25  -  29,M,CHINESE,132
2021-01,25  -  29,F,INDIANS,38
2021-01,25  -  29,M,INDIANS,37
2021-01,25  -  29,F,MALAYS,107
2021-01,25  -  29,M,MALAYS,104
2021-01,25  -  29,F,OTHERS,29
2021-01,25  -  29,M,OTHERS,31
2021-01,30  -  34,F,CHINESE,389
2021-01,30  -  34,M,CHINESE,455
2021-01,30  -  34,F,INDIANS,72
2021-01,30  -  34,M,INDIANS,82
2021-01,30  -  34,F,MALAYS,109
2021-01,30  -  34,M,MALAYS,113
2021-01,30  -  34,F,OTHERS,84
2021-01,30  -  34,M,OTHERS,83
2021-01,35  -  39,F,CHINESE,187
2021-01,35  -  39,M,CHINESE,240
2021-01,35  -  39,F,INDIANS,41
2021-01,35  -  39,M,INDIANS,48
2021-01,35  -  39,F,MALAYS,39
2021-01,35  -  39,M,MALAYS,48
2021-01,35  -  39,F,OTHERS,57
2021-01,35  -  39,M,OTHERS,63
2021-01,40  -  44,F,CHINESE,37
2021-01,40  -  44,M,CHINESE,43
2021-01,40  -  44,F,INDIANS,2
2021-01,40  -  44,M,INDIANS,7
2021-01,40  -  44,F,MALAYS,7
2021-01,40  -  44,M,MALAYS,14
2021-01,40  -  44,F,OTHERS,11
2021-01,40  -  44,M,OTHERS,13
